ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000820.SZ,20240102,3.97,4.32,3.96,4.32,3.93,0.39,9.9237,118597.48,50134.6
000820.SZ,20240103,4.28,4.75,4.15,4.75,4.32,0.43,9.9537,420393.49,184522.042
000820.SZ,20240104,5.08,5.23,4.99,5.23,4.75,0.48,10.1053,402605.58,208647.381
000820.SZ,20240105,5.49,5.75,4.71,4.71,5.23,-0.52,-9.9426,1053641.44,546239.163
000820.SZ,20240108,4.36,4.57,4.24,4.26,4.71,-0.45,-9.5541,778167.01,334161.692
000820.SZ,20240109,4.12,4.22,4.04,4.06,4.26,-0.2,-4.6948,479573.13,196666.377
000820.SZ,20240110,4.1,4.27,3.93,4.21,4.06,0.15,3.6946,509046.79,209612.593
000820.SZ,20240111,4.12,4.35,4.12,4.34,4.21,0.13,3.0879,431632.26,183558.634
000820.SZ,20240112,4.42,4.74,4.38,4.39,4.34,0.05,1.1521,584526.18,263121.954
000820.SZ,20240115,4.31,4.53,4.3,4.42,4.39,0.03,0.6834,359983.07,158435.505
000820.SZ,20240116,4.43,4.47,4.33,4.41,4.42,-0.01,-0.2262,237067.83,103853.77
000820.SZ,20240117,4.4,4.41,4.27,4.28,4.41,-0.13,-2.9478,144361.61,62833.148
000820.SZ,20240118,4.28,4.5,4.16,4.31,4.28,0.03,0.7009,186517.8,79861.536
000820.SZ,20240119,4.29,4.35,4.18,4.21,4.31,-0.1,-2.3202,127588.48,54196.103
000820.SZ,20240122,4.22,4.25,3.96,4.0,4.21,-0.21,-4.9881,161760.78,66038.722
000820.SZ,20240123,4.03,4.06,3.91,3.99,4.0,-0.01,-0.25,116714.0,46300.645
000820.SZ,20240124,4.04,4.16,3.93,4.04,3.99,0.05,1.2531,125848.0,50893.749
000820.SZ,20240125,4.05,4.13,4.03,4.12,4.04,0.08,1.9802,105245.0,43021.802
000820.SZ,20240126,4.12,4.53,4.12,4.53,4.12,0.41,9.9515,161882.0,70777.198
000820.SZ,20240129,4.67,4.97,4.41,4.46,4.53,-0.07,-1.5453,737184.8,341548.341
000820.SZ,20240130,4.31,4.46,4.27,4.36,4.46,-0.1,-2.2422,363747.27,158586.896
000820.SZ,20240131,4.3,4.57,4.26,4.37,4.36,0.01,0.2294,403367.6,178636.231
000820.SZ,20240201,4.26,4.8,4.23,4.68,4.37,0.31,7.0938,636128.82,292331.185
000820.SZ,20240202,4.45,4.56,4.21,4.21,4.68,-0.47,-10.0427,402590.59,177558.373
000820.SZ,20240205,3.79,3.87,3.79,3.79,4.21,-0.42,-9.9762,52884.0,20047.007
000820.SZ,20240206,3.41,3.54,3.41,3.41,3.79,-0.38,-10.0264,298346.9,102427.046
000820.SZ,20240207,3.22,3.28,3.07,3.07,3.41,-0.34,-9.9707,243305.34,75442.74
000820.SZ,20240208,2.77,3.28,2.76,3.06,3.07,-0.01,-0.3257,386871.35,113242.918
000820.SZ,20240219,2.99,3.17,2.89,3.15,3.06,0.09,2.9412,280034.79,86023.459
000820.SZ,20240220,3.16,3.16,3.03,3.13,3.15,-0.02,-0.6349,177319.55,54734.558
000820.SZ,20240221,3.12,3.44,3.09,3.44,3.13,0.31,9.9042,432306.56,146173.117
000820.SZ,20240222,3.36,3.52,3.34,3.44,3.44,0.0,0.0,353209.55,120524.684
000820.SZ,20240223,3.41,3.62,3.41,3.5,3.44,0.06,1.7442,307359.88,106928.09
000820.SZ,20240226,3.51,3.67,3.44,3.58,3.5,0.08,2.2857,291899.4,103950.01
000820.SZ,20240227,3.54,3.62,3.54,3.6,3.58,0.02,0.5587,212201.52,76076.425
000820.SZ,20240228,3.62,3.72,3.24,3.24,3.6,-0.36,-10.0,337272.94,118003.99
000820.SZ,20240229,3.12,3.35,3.07,3.35,3.24,0.11,3.3951,211347.91,69235.608
000820.SZ,20240301,3.38,3.43,3.25,3.29,3.35,-0.06,-1.791,167736.0,55689.762
000820.SZ,20240304,3.33,3.35,3.18,3.25,3.29,-0.04,-1.2158,122573.0,39682.208
000820.SZ,20240305,3.25,3.27,3.11,3.12,3.25,-0.13,-4.0,166691.0,52525.449
000820.SZ,20240306,3.14,3.43,3.11,3.43,3.12,0.31,9.9359,225993.34,76442.118
000820.SZ,20240307,3.53,3.56,3.26,3.34,3.43,-0.09,-2.6239,393393.34,132666.696
000820.SZ,20240308,3.31,3.32,3.2,3.27,3.34,-0.07,-2.0958,189818.79,61749.877
000820.SZ,20240311,3.25,3.37,3.22,3.32,3.27,0.05,1.5291,187414.0,61948.454
000820.SZ,20240312,3.32,3.42,3.29,3.42,3.32,0.1,3.012,222684.01,74812.906
000820.SZ,20240313,3.4,3.44,3.33,3.37,3.42,-0.05,-1.462,130477.0,43892.155
000820.SZ,20240314,3.35,3.48,3.35,3.41,3.37,0.04,1.1869,186007.0,63506.758
000820.SZ,20240315,3.37,3.74,3.37,3.6,3.41,0.19,5.5718,335289.01,119619.564
000820.SZ,20240318,3.54,3.95,3.5,3.75,3.6,0.15,4.1667,371479.42,138025.026
000820.SZ,20240319,3.67,3.83,3.63,3.64,3.75,-0.11,-2.9333,259967.78,96209.889
000820.SZ,20240320,3.62,3.95,3.58,3.78,3.64,0.14,3.8462,325765.32,123650.222
000820.SZ,20240321,3.72,3.89,3.72,3.79,3.78,0.01,0.2646,242575.9,91778.323
000820.SZ,20240322,3.78,3.78,3.63,3.65,3.79,-0.14,-3.6939,202709.0,74470.755
000820.SZ,20240325,3.63,3.72,3.5,3.51,3.65,-0.14,-3.8356,157478.9,56546.934
000820.SZ,20240326,3.51,3.57,3.41,3.53,3.51,0.02,0.5698,138778.01,48282.417
000820.SZ,20240327,3.53,3.54,3.35,3.37,3.53,-0.16,-4.5326,126196.37,43402.574
000820.SZ,20240328,3.35,3.5,3.35,3.45,3.37,0.08,2.3739,103573.37,35601.116
000820.SZ,20240329,3.45,3.57,3.45,3.55,3.45,0.1,2.8986,110798.37,39076.752
000820.SZ,20240401,3.53,3.6,3.51,3.59,3.55,0.04,1.1268,101909.0,36247.638
000820.SZ,20240402,3.57,3.67,3.55,3.58,3.59,-0.01,-0.2786,94996.16,34166.498
000820.SZ,20240403,3.55,3.61,3.51,3.58,3.58,0.0,0.0,77458.11,27490.717
000820.SZ,20240408,3.57,3.57,3.43,3.44,3.58,-0.14,-3.9106,85291.55,29816.374
000820.SZ,20240409,3.45,3.51,3.4,3.49,3.44,0.05,1.4535,69655.0,24125.089
000820.SZ,20240410,3.48,3.53,3.34,3.37,3.49,-0.12,-3.4384,92303.0,31487.813
000820.SZ,20240411,3.35,3.45,3.33,3.41,3.37,0.04,1.1869,65256.08,22264.439
000820.SZ,20240412,3.42,3.45,3.33,3.35,3.41,-0.06,-1.7595,52388.0,17695.046
000820.SZ,20240415,3.17,3.28,3.02,3.02,3.35,-0.33,-9.8507,177554.0,54671.47
000820.SZ,20240416,2.94,2.95,2.72,2.72,3.02,-0.3,-9.9338,137790.0,38212.372
000820.SZ,20240417,2.64,2.87,2.63,2.83,2.72,0.11,4.0441,128863.78,36168.555
000820.SZ,20240418,2.83,2.9,2.74,2.76,2.83,-0.07,-2.4735,87268.0,24389.191
000820.SZ,20240419,2.75,2.79,2.68,2.7,2.76,-0.06,-2.1739,71237.0,19380.654
000820.SZ,20240422,2.72,2.73,2.58,2.62,2.7,-0.08,-2.963,79241.08,20904.301
000820.SZ,20240423,2.6,2.72,2.6,2.71,2.62,0.09,3.4351,73683.0,19746.923
000820.SZ,20240424,2.71,2.82,2.71,2.81,2.71,0.1,3.69,60719.0,16851.698
000820.SZ,20240425,2.83,2.85,2.75,2.77,2.81,-0.04,-1.4235,57000.0,15932.292
000820.SZ,20240426,2.77,2.78,2.67,2.72,2.77,-0.05,-1.8051,83032.0,22647.585
000820.SZ,20240429,2.74,2.99,2.73,2.99,2.72,0.27,9.9265,132116.01,38466.002
000820.SZ,20240430,3.11,3.25,2.86,2.95,2.99,-0.04,-1.3378,180418.0,53306.81
000820.SZ,20240506,3.0,3.09,2.95,3.07,2.95,0.12,4.0678,124207.61,37421.619
000820.SZ,20240507,3.07,3.13,3.04,3.1,3.07,0.03,0.9772,98019.61,30225.236
000820.SZ,20240508,3.15,3.15,3.04,3.07,3.1,-0.03,-0.9677,60525.98,18587.65
000820.SZ,20240509,3.09,3.13,3.06,3.12,3.07,0.05,1.6287,59466.6,18494.908
000820.SZ,20240510,3.1,3.15,3.04,3.05,3.12,-0.07,-2.2436,52406.28,16073.348
000820.SZ,20240513,3.04,3.05,2.93,2.96,3.05,-0.09,-2.9508,58900.29,17544.015
000820.SZ,20240514,2.97,3.03,2.95,3.03,2.96,0.07,2.3649,46388.62,13882.359
000820.SZ,20240515,3.02,3.05,2.96,3.0,3.03,-0.03,-0.9901,35238.0,10621.534
000820.SZ,20240516,3.04,3.11,3.02,3.08,3.0,0.08,2.6667,76976.24,23635.592
000820.SZ,20240517,3.09,3.1,2.99,3.01,3.08,-0.07,-2.2727,72711.01,22010.653
