ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688182.SH,20240102,17.88,17.88,17.43,17.46,17.78,-0.32,-1.7998,23243.12,40846.509
688182.SH,20240103,17.41,17.46,16.79,17.04,17.46,-0.42,-2.4055,24486.55,41789.504
688182.SH,20240104,17.0,17.1,16.61,16.63,17.04,-0.41,-2.4061,21115.65,35557.424
688182.SH,20240105,16.71,16.78,16.13,16.24,16.63,-0.39,-2.3452,22371.71,36769.369
688182.SH,20240108,16.28,16.4,15.8,15.82,16.24,-0.42,-2.5862,22205.82,35520.509
688182.SH,20240109,15.99,16.28,15.6,15.9,15.82,0.08,0.5057,23752.47,37995.888
688182.SH,20240110,15.85,15.95,15.43,15.5,15.9,-0.4,-2.5157,34339.48,53625.018
688182.SH,20240111,15.41,15.95,15.41,15.87,15.5,0.37,2.3871,26461.25,41755.929
688182.SH,20240112,15.87,15.88,15.45,15.52,15.87,-0.35,-2.2054,17459.11,27300.823
688182.SH,20240115,15.76,15.76,15.24,15.54,15.52,0.02,0.1289,22032.28,34253.511
688182.SH,20240116,15.61,15.61,14.9,15.27,15.54,-0.27,-1.7375,26529.72,40283.269
688182.SH,20240117,15.13,15.38,14.7,14.75,15.27,-0.52,-3.4054,20237.93,30490.535
688182.SH,20240118,14.78,14.91,14.26,14.91,14.75,0.16,1.0847,32814.33,47808.2
688182.SH,20240119,14.92,14.92,14.48,14.59,14.91,-0.32,-2.1462,23878.59,34985.01
688182.SH,20240122,14.47,14.7,13.3,13.55,14.59,-1.04,-7.1282,43175.19,60737.435
688182.SH,20240123,13.61,13.91,13.45,13.72,13.55,0.17,1.2546,42933.65,58574.072
688182.SH,20240124,14.0,14.0,13.08,13.68,13.72,-0.04,-0.2915,31129.56,42162.907
688182.SH,20240125,13.68,14.38,13.46,14.3,13.68,0.62,4.5322,36068.84,50432.503
688182.SH,20240126,14.43,14.5,13.86,13.94,14.3,-0.36,-2.5175,32229.7,45413.466
688182.SH,20240129,14.0,14.11,13.1,13.18,13.94,-0.76,-5.4519,42560.9,56999.242
688182.SH,20240130,13.01,13.34,12.76,12.79,13.18,-0.39,-2.959,36320.26,47260.102
688182.SH,20240131,12.62,12.88,11.83,11.9,12.79,-0.89,-6.9586,44035.55,53878.388
688182.SH,20240201,12.0,12.17,11.57,11.88,11.9,-0.02,-0.1681,34817.39,41339.798
688182.SH,20240202,11.98,12.12,10.64,11.03,11.88,-0.85,-7.1549,44411.66,50217.662
688182.SH,20240205,11.0,11.09,9.32,9.43,11.03,-1.6,-14.5059,76082.81,75295.918
688182.SH,20240206,9.25,9.95,8.51,9.83,9.43,0.4,4.2418,98758.18,90780.253
688182.SH,20240207,9.96,10.23,9.21,9.58,9.83,-0.25,-2.5432,95963.24,93425.397
688182.SH,20240208,9.5,10.96,9.33,10.86,9.58,1.28,13.3612,102160.66,103521.745
688182.SH,20240219,11.36,12.19,11.29,11.8,10.86,0.94,8.6556,119912.7,140233.68
688182.SH,20240220,11.82,13.73,11.41,13.09,11.8,1.29,10.9322,129382.96,160695.014
688182.SH,20240221,12.78,13.05,12.44,12.58,13.09,-0.51,-3.8961,111735.3,141955.144
688182.SH,20240222,12.62,13.88,12.62,13.5,12.58,0.92,7.3132,109587.35,146674.745
688182.SH,20240223,13.89,14.28,13.5,14.19,13.5,0.69,5.1111,118720.42,164858.733
688182.SH,20240226,13.8,14.38,13.48,13.85,14.19,-0.34,-2.3961,134218.31,185380.637
688182.SH,20240227,13.78,14.5,13.68,14.45,13.85,0.6,4.3321,99178.21,139935.643
688182.SH,20240228,14.5,15.18,13.26,13.29,14.45,-1.16,-8.0277,133954.56,193008.442
688182.SH,20240229,13.03,14.14,13.01,14.07,13.29,0.78,5.8691,88657.91,122183.865
688182.SH,20240301,14.0,14.5,13.88,14.36,14.07,0.29,2.0611,66106.86,94194.033
688182.SH,20240304,14.4,14.74,14.08,14.66,14.36,0.3,2.0891,63262.25,91355.613
688182.SH,20240305,14.3,15.26,14.2,14.53,14.66,-0.13,-0.8868,100677.95,148102.079
688182.SH,20240306,14.38,14.6,14.02,14.34,14.53,-0.19,-1.3076,60803.51,86970.713
688182.SH,20240307,14.43,14.69,13.88,13.95,14.34,-0.39,-2.7197,61800.59,87970.693
688182.SH,20240308,14.02,14.75,13.9,14.48,13.95,0.53,3.7993,70953.6,101584.806
688182.SH,20240311,14.38,15.35,14.22,15.26,14.48,0.78,5.3867,84811.49,126400.914
688182.SH,20240312,15.27,15.52,14.93,15.25,15.26,-0.01,-0.0655,85010.19,128802.08
688182.SH,20240313,15.16,15.97,15.1,15.6,15.25,0.35,2.2951,88312.63,136639.87
688182.SH,20240314,15.41,15.72,14.91,15.25,15.6,-0.35,-2.2436,100043.79,153367.758
688182.SH,20240315,15.19,15.26,14.82,15.08,15.25,-0.17,-1.1148,74240.62,111411.237
688182.SH,20240318,15.18,16.11,15.1,16.02,15.08,0.94,6.2334,105598.3,164896.036
688182.SH,20240319,15.94,16.38,15.75,15.96,16.02,-0.06,-0.3745,85459.92,136988.848
688182.SH,20240320,15.86,16.15,15.81,15.96,15.96,0.0,0.0,68068.61,108616.229
688182.SH,20240321,15.85,16.09,15.6,15.85,15.96,-0.11,-0.6892,63154.72,100002.937
688182.SH,20240322,15.8,15.9,15.27,15.45,15.85,-0.4,-2.5237,66855.74,103594.917
688182.SH,20240325,15.28,15.46,14.43,14.52,15.45,-0.93,-6.0194,73907.22,110186.455
688182.SH,20240326,14.49,14.91,14.15,14.51,14.52,-0.01,-0.0689,63399.89,92361.022
688182.SH,20240327,14.6,14.6,13.4,13.4,14.51,-1.11,-7.6499,56203.94,77764.187
688182.SH,20240328,13.63,14.26,13.23,14.07,13.4,0.67,5.0,54613.8,76107.046
688182.SH,20240329,14.55,16.88,14.55,16.88,14.07,2.81,19.9716,151334.89,239903.117
688182.SH,20240401,17.0,18.47,16.88,17.67,16.88,0.79,4.6801,240001.98,425639.688
688182.SH,20240402,17.58,17.85,16.35,16.62,17.67,-1.05,-5.9423,164629.54,280911.159
688182.SH,20240403,16.5,16.62,15.53,15.98,16.62,-0.64,-3.8508,113005.49,180854.706
688182.SH,20240408,15.69,16.15,15.01,15.4,15.98,-0.58,-3.6295,112008.89,174079.837
688182.SH,20240409,15.66,15.97,14.86,15.2,15.4,-0.2,-1.2987,86933.19,132595.962
688182.SH,20240410,15.07,15.07,13.96,14.2,15.2,-1.0,-6.5789,85791.44,123442.741
688182.SH,20240411,14.0,14.46,13.81,13.92,14.2,-0.28,-1.9718,69580.54,97837.374
688182.SH,20240412,13.73,14.16,13.66,13.74,13.92,-0.18,-1.2931,60707.51,84333.085
688182.SH,20240415,13.95,13.97,12.3,12.51,13.74,-1.23,-8.952,97591.42,125478.973
688182.SH,20240416,12.68,12.68,11.5,11.7,12.51,-0.81,-6.4748,83469.68,99023.805
688182.SH,20240417,12.16,12.78,12.08,12.76,11.7,1.06,9.0598,79919.13,100360.341
688182.SH,20240418,12.98,13.49,12.39,12.9,12.76,0.14,1.0972,82495.4,106547.282
688182.SH,20240419,12.79,12.87,12.32,12.4,12.9,-0.5,-3.876,54940.11,68789.076
688182.SH,20240422,12.39,12.55,11.83,12.34,12.4,-0.06,-0.4839,39954.69,48915.702
688182.SH,20240423,12.45,12.69,12.24,12.36,12.34,0.02,0.1621,32775.3,40693.176
688182.SH,20240424,12.4,13.28,12.31,13.28,12.36,0.92,7.4434,62509.67,81093.342
688182.SH,20240425,13.33,13.54,13.12,13.25,13.28,-0.03,-0.2259,39127.09,52003.275
688182.SH,20240426,13.23,13.9,13.07,13.64,13.25,0.39,2.9434,54192.37,73701.492
688182.SH,20240429,13.57,14.15,13.5,14.08,13.64,0.44,3.2258,49971.86,69488.332
688182.SH,20240430,14.25,14.5,13.88,14.02,14.08,-0.06,-0.4261,47508.63,67047.881
688182.SH,20240506,14.36,14.45,13.98,14.09,14.02,0.07,0.4993,40090.44,56741.039
688182.SH,20240507,14.01,15.08,13.95,14.67,14.09,0.58,4.1164,78036.96,113781.245
688182.SH,20240508,14.68,15.31,14.45,14.88,14.67,0.21,1.4315,106890.83,159837.856
688182.SH,20240509,14.86,14.9,14.5,14.66,14.88,-0.22,-1.4785,62546.06,91805.973
688182.SH,20240510,14.95,15.22,14.2,14.46,14.66,-0.2,-1.3643,65872.22,96355.534
688182.SH,20240513,14.44,14.69,13.8,13.88,14.46,-0.58,-4.0111,68975.12,97997.154
688182.SH,20240514,13.91,14.13,13.4,13.6,13.88,-0.28,-2.0173,52552.78,71792.924
688182.SH,20240515,13.66,13.94,13.27,13.57,13.6,-0.03,-0.2206,30489.17,41765.672
688182.SH,20240516,13.55,14.02,13.54,13.78,13.57,0.21,1.5475,31255.56,43315.421
688182.SH,20240517,13.88,14.49,13.5,14.44,13.78,0.66,4.7896,48225.33,68527.277
688182.SH,20240520,14.49,14.55,14.14,14.4,14.44,-0.04,-0.277,37194.29,53211.331
688182.SH,20240521,14.48,14.6,14.15,14.22,14.4,-0.18,-1.25,26699.54,38207.971
688182.SH,20240522,14.23,14.76,14.14,14.55,14.22,0.33,2.3207,40585.86,58733.714
688182.SH,20240523,14.6,14.95,14.3,14.41,14.55,-0.14,-0.9622,49877.19,72638.144
688182.SH,20240524,14.33,14.53,13.75,13.76,14.41,-0.65,-4.5108,50252.65,70695.785
688182.SH,20240527,13.88,13.96,13.06,13.52,13.76,-0.24,-1.7442,58167.78,77644.294
688182.SH,20240528,13.64,14.3,13.3,13.86,13.52,0.34,2.5148,63415.85,88292.954
688182.SH,20240529,14.1,14.49,13.64,13.75,13.86,-0.11,-0.7937,56565.51,79553.503
688182.SH,20240530,13.6,14.04,13.13,13.82,13.75,0.07,0.5091,43006.69,59005.843
688182.SH,20240531,13.74,14.31,13.74,14.21,13.82,0.39,2.822,50842.51,71993.986
688182.SH,20240603,14.14,14.67,14.13,14.28,14.21,0.07,0.4926,77788.1,111735.72
688182.SH,20240604,14.14,14.29,13.37,13.56,14.28,-0.72,-5.042,64945.28,88595.931
688182.SH,20240605,13.35,13.78,13.34,13.4,13.56,-0.16,-1.1799,37012.1,50265.936
688182.SH,20240606,13.59,13.64,12.51,12.69,13.4,-0.71,-5.2985,58645.72,75754.52
688182.SH,20240607,12.7,13.11,12.7,12.87,12.69,0.18,1.4184,32281.87,41684.897
688182.SH,20240611,12.64,13.47,12.5,13.44,12.87,0.57,4.4289,42482.73,55517.61
688182.SH,20240612,13.49,13.87,13.25,13.61,13.44,0.17,1.2649,44785.38,61175.013
688182.SH,20240613,13.7,14.32,13.55,14.05,13.61,0.44,3.2329,60965.0,85282.812
