ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
920368.BJ,20240102,42.48,42.48,41.51,42.45,42.28,0.17,0.4021,17968.1,75603.584
920368.BJ,20240103,43.0,43.03,41.84,42.3,42.45,-0.15,-0.3534,13927.57,58988.272
920368.BJ,20240104,42.02,42.4,40.7,41.15,42.3,-1.15,-2.7187,14422.81,59615.927
920368.BJ,20240105,41.13,41.98,39.66,39.66,41.15,-1.49,-3.6209,15066.09,61618.692
920368.BJ,20240108,39.55,40.52,37.7,37.73,39.66,-1.93,-4.8664,13194.51,51380.759
920368.BJ,20240109,37.98,38.65,35.8,36.38,37.73,-1.35,-3.5781,14104.38,52616.335
920368.BJ,20240110,36.38,37.29,35.7,36.9,36.38,0.52,1.4294,8073.46,29623.462
920368.BJ,20240111,37.25,38.54,37.05,38.3,36.9,1.4,3.794,9231.18,35151.781
920368.BJ,20240112,37.92,39.58,37.48,37.67,38.3,-0.63,-1.6449,11276.52,43477.261
920368.BJ,20240115,37.25,37.66,35.98,36.23,37.67,-1.44,-3.8227,7335.01,26866.18
920368.BJ,20240116,36.26,38.23,35.77,37.82,36.23,1.59,4.3886,11430.08,42261.419
920368.BJ,20240117,37.45,37.97,36.62,36.65,37.82,-1.17,-3.0936,8652.94,32267.01
920368.BJ,20240118,36.63,37.6,35.5,37.31,36.65,0.66,1.8008,9862.93,36367.08
920368.BJ,20240119,37.5,38.25,37.5,37.97,37.31,0.66,1.769,9258.11,35111.357
920368.BJ,20240122,37.51,37.66,36.29,36.53,37.97,-1.44,-3.7925,8961.18,32986.274
920368.BJ,20240123,36.6,37.5,36.46,36.8,36.53,0.27,0.7391,6070.59,22447.002
920368.BJ,20240124,37.16,37.33,35.95,36.33,36.8,-0.47,-1.2772,6833.41,24809.351
920368.BJ,20240125,36.33,36.6,35.09,36.49,36.33,0.16,0.4404,8728.38,31366.745
920368.BJ,20240126,36.2,36.54,35.21,35.39,36.49,-1.1,-3.0145,5977.15,21510.224
920368.BJ,20240129,35.42,35.7,33.1,33.11,35.39,-2.28,-6.4425,8077.43,27270.921
